customer_id,months_as_customer,age,policy_state,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
10001,328,48,OH,1406.91,1101000,466132,MALE,MD,craft-repair,sleeping,25-01-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610,6510,13020,52080,Saab,92x,2004
10002,228,42,IN,1197.22,5000000,468176,MALE,MD,machine-op-inspct,reading,21-01-2015,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,?,0,0,?,5070,780,780,3510,Mercedes,E400,2007
10003,134,29,OH,1413.14,5000000,430632,FEMALE,PhD,sales,board-games,22-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650,7700,3850,23100,Dodge,RAM,2007
10004,256,41,IL,1415.74,6000000,608117,FEMALE,PhD,armed-forces,board-games,10-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,?,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014
10005,228,44,IL,1583.91,6000000,610706,MALE,Associate,sales,board-games,17-02-2015,Vehicle Theft,?,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009
10006,256,39,OH,1351.1,1101000,478456,FEMALE,PhD,tech-support,bungie-jumping,02-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,2003
10007,137,34,IN,1333.35,1101000,441716,MALE,PhD,prof-specialty,board-games,13-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,?,0,0,?,78650,21450,7150,50050,Nissan,Pathfinder,2012
10008,165,37,IL,1137.03,1101000,603195,MALE,Associate,tech-support,base-jumping,27-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,?,2,2,YES,51590,9380,9380,32830,Audi,A5,2015
10009,27,33,IL,1442.99,1101000,601734,FEMALE,PhD,other-service,golf,30-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012
10010,212,42,IL,1315.68,1101000,600983,MALE,PhD,priv-house-serv,camping,05-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,?,42300,4700,4700,32900,Saab,92x,1996
10011,235,42,OH,1253.12,4000000,462283,FEMALE,Masters,exec-managerial,dancing,06-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,?,87010,7910,15820,63280,Ford,F150,2002
10012,447,61,OH,1137.16,1101000,615561,FEMALE,High School,exec-managerial,skydiving,15-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006
10013,60,23,OH,1215.36,3000000,432220,MALE,MD,protective-serv,reading,22-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,2000
10014,121,34,OH,936.61,1101000,464652,FEMALE,MD,armed-forces,bungie-jumping,08-01-2015,Parked Car,?,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010
10015,180,38,OH,1301.13,1101000,476685,FEMALE,College,machine-op-inspct,board-games,15-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003
10016,473,58,IN,1131.4,1101000,458733,FEMALE,MD,transport-moving,movies,29-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999
10017,70,26,OH,1199.44,5000000,619884,MALE,College,machine-op-inspct,hiking,22-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,?,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012
10018,140,31,IN,708.64,6000000,470610,MALE,High School,machine-op-inspct,reading,06-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015
10019,160,37,OH,1374.22,1101000,472135,FEMALE,MD,craft-repair,yachting,19-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015
10020,196,39,IN,1475.73,1101000,477670,FEMALE,High School,handlers-cleaners,camping,22-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,?,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014
10021,460,62,IN,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,01-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,Impreza,2011
